First Name,Last Name,Gender,Age,Email,Education,Occupation,Experience (Years),Salary
Amanda,Andrews,Female,23,a.andrews@randatmail.com,Master,Jeweller,6,87556
Rafael,Henderson,Male,23,r.henderson@randatmail.com,Doctoral,Baker,1,82413
Oliver,Howard,Male,23,o.howard@randatmail.com,Doctoral,Police Officer,3,162620
Oliver,Cole,Male,23,o.cole@randatmail.com,Upper secondary,Social Worker,10,183550
Aiden,Cunningham,Male,23,a.cunningham@randatmail.com,Upper secondary,Geologist,7,153685
Haris,Holmes,Male,23,h.holmes@randatmail.com,Doctoral,Physicist,0,119660
Leonardo,Morgan,Male,23,l.morgan@randatmail.com,Master,Producer,0,186721
Alberta,Allen,Female,23,a.allen@randatmail.com,Master,Salesman,11,158214
Harold,Crawford,Male,23,h.crawford@randatmail.com,Doctoral,Producer,1,95050
Eleanor,Harrison,Female,23,e.harrison@randatmail.com,Upper secondary,Singer,4,124257
Michael,Sullivan,Male,23,m.sullivan@randatmail.com,Master,Carpenter,11,40994
Madaline,Gibson,Female,23,m.gibson@randatmail.com,Upper secondary,Florist,2,68765
Violet,Allen,Female,23,v.allen@randatmail.com,Lower secondary,Programmer,6,125391
Cherry,Wells,Female,23,c.wells@randatmail.com,Bachelor,Medic,1,190503
Samantha,Nelson,Female,23,s.nelson@randatmail.com,Master,Veterinarian,9,34172
Wilson,Morrison,Male,23,w.morrison@randatmail.com,Upper secondary,Mechanic,1,199806
Chelsea,Carroll,Female,23,c.carroll@randatmail.com,Master,Firefighter,9,105801
Dale,Hamilton,Male,23,d.hamilton@randatmail.com,Master,Graphic Designer,10,90402
Lilianna,Spencer,Female,23,l.spencer@randatmail.com,Primary,Hairdresser,10,152896
Alfred,Bennett,Male,23,a.bennett@randatmail.com,Upper secondary,Graphic Designer,2,37718
